covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
PC1,0.0347518457549014,1.0353627472569444,0.009634708395824634,0.01586816429753944,0.05363552721226336,1.0159947321971659,1.0550999768367084,0.0,3.606943181587282,0.00030982546993941514,11.656256630370725
PC2,0.1584195754564161,1.1716576904009075,0.01745236097894409,0.12421357649249348,0.19262557442033873,1.132257668798594,1.212428744185242,0.0,9.077257549711815,1.113449077454033e-19,62.96159822352579
PC3,0.12825410073738255,1.136841838348242,0.022188094376047095,0.08476623487475453,0.17174196660001056,1.0884625923617166,1.187371412199638,0.0,5.780311664612253,7.456236604306372e-09,26.998905213086946
PC4,0.014321604660847215,1.0144246501789451,0.024340519303521695,-0.03338493653905726,0.0620281458607517,0.9671661903183666,1.0639922912854674,0.0,0.5883853373159176,0.5562736773171357,0.8461332555236156
PC5,-0.0015362910013548105,0.9984648884895745,0.002448073575125989,-0.0063344270401059595,0.003261845037396338,0.9936855931484113,1.0032671706427791,0.0,-0.6275509923249533,0.5302981216827095,0.9151244564291435
PC6,-0.010353049680922995,0.9897003586659283,0.0281937901055462,-0.06561186287547527,0.044905763513629286,0.9364942819568453,1.0459292905630406,0.0,-0.36721028432734104,0.7134621686045655,0.4870911621920564
PC7,-0.03171234143712901,0.9687852213652965,0.03291956023538335,-0.09623349388537727,0.03280881101111926,0.9082519200383955,1.033352954647352,0.0,-0.9633282221991298,0.3353828345873464,1.576119243461075
PC8,0.045103184426470086,1.0461357992622478,0.029606973915846612,-0.012925418139806084,0.10313178699274625,0.9871577563366185,1.1086375034517522,0.0,1.5233973101968856,0.12765933456636333,2.9696290621150525
PC9,-0.024061908005264913,0.9762252717278678,0.03520065535466651,-0.09305392473261828,0.04493010872208845,0.911144365755069,1.0459547542396108,0.0,-0.683564205348667,0.4942503940612579,1.016685978685037
PC10,0.08104670888787377,1.084421547508297,0.03169174658794344,0.018932026968334487,0.14316139080741305,1.0191123741053596,1.153916018076642,0.0,2.5573443439910175,0.010547475063677828,6.5669585130305315
PC11,0.05699675786193019,1.0586523780927584,0.03830905659085108,-0.018087613337844713,0.1320811290617051,0.9820749857214264,1.141200900069927,0.0,1.4878141863598406,0.13679990337590625,2.8698608836631867
PC12,0.02259636574104648,1.0228535974602084,0.04020030117765365,-0.05619477673481779,0.10138750821691075,0.9453549847996214,1.1067054161237115,0.0,0.5620944390736864,0.5740516769548518,0.800747478664693
PC13,-0.01042342996342614,0.9896307057262175,0.010572758532288182,-0.03114565590394954,0.010298795977097258,0.9693343735185967,1.0103520111034028,0.0,-0.9858761014539388,0.32419391559347627,1.625071079989617
PC14,0.028903265200496204,1.0293250181097076,0.03922942481000527,-0.047984994561336175,0.10579152496232858,0.9531480893753911,1.1115901135581763,0.0,0.7367751462194411,0.46125909976016166,1.1163507218186957
PC15,-0.12441542886493918,0.883012935614939,0.048292911845382765,-0.21906779679045718,-0.0297630609394212,0.8032672573655852,0.9706754972441851,0.0,-2.576266870452427,0.009987352919026048,6.645681932634407
PC16,-0.06070048956601641,0.9411050683560502,0.042588962116300054,-0.1441733214529053,0.022772342320872455,0.8657376841416824,1.0230336115766219,0.0,-1.4252634145029925,0.15408107149224792,2.6982384539403315
PC17,0.09285373211682604,1.097301223602337,0.04976271774561062,-0.004679402437403002,0.1903868666710551,0.9953315289088132,1.2097175065269097,0.0,1.8659296823678067,0.06205120414907745,4.010396982593204
PC18,-0.06356261627531162,0.9384153573865823,0.05843435928008531,-0.1780918559239527,0.05096662337332945,0.8368655488999106,1.0522877708809948,0.0,-1.0877609861459379,0.27670063678568146,1.8536021307859434
PC19,0.00980045578193133,1.0098486375210654,0.046949876509883824,-0.08221961125604406,0.10182052281990671,0.9210696592187754,1.107184739499629,0.0,0.20874295121666936,0.8346489084392033,0.2607586333139323
PC20,-0.08019427772872821,0.9229370228593557,0.054141801649584,-0.18631025902002413,0.02592170356256772,0.8300160350672111,1.026260592779409,0.0,-1.4811896775759472,0.13855603610550365,2.8514585326079906
PC21,0.11935627793026511,1.1267712905273433,0.05878132250792059,0.004147002851107112,0.2345655530094231,1.0041556135662029,1.2643593522797654,0.0,2.0305136536215604,0.04230435473709388,4.563050010253594
PC22,0.18508537446751766,1.2033211686464627,0.052126860381379606,0.08291860549286581,0.28725214344216954,1.0864533736123585,1.3327602178621627,0.0,3.5506718247246014,0.0003842492221976445,11.345670039952822
PC23,-0.07161930639456514,0.9308852104112727,0.06886859989174861,-0.20659928184809145,0.06336066905896119,0.8133455070032295,1.0654110307380091,0.0,-1.0399413739663683,0.29836713879633014,1.7448394443686
PC24,-0.1564756504474722,0.8551523400262244,0.06232070858213101,-0.27862199475946525,-0.034329306135479146,0.7568259333201698,0.966253259113628,0.0,-2.510813082961927,0.012045345740415832,6.375380385586077
PC25,-0.1571326374945322,0.8545907005307027,0.06963842901967138,-0.29362145031303705,-0.020643824676027378,0.7455586690315745,0.9795678003210608,0.0,-2.256406982560528,0.024045154747701195,5.378109978760829
PC26,0.10588633226671264,1.1116955054163027,0.06071298484052851,-0.013108931414649527,0.2248815959480748,0.9869766164052654,1.252174444886084,0.0,1.7440475467453709,0.08115079931915402,3.623250884673686
PC27,0.12428742851392448,1.1323412914040267,0.07420278667973482,-0.02114736093086421,0.26972221795871315,0.9790746765827879,1.3096006166697336,0.0,1.6749698235776374,0.09394015252512955,3.4121142537575917
PC28,-0.2752739174176281,0.7593640916835045,0.06364970079419018,-0.4000250386009913,-0.15052279623426484,0.6703032623695908,0.860258119138275,0.0,-4.324826573933472,1.526519068961629e-05,15.99939486293041
PC29,0.0034264335038027317,1.0034323104374712,0.06924637309343194,-0.13229396381934733,0.13914683082695278,0.8760834203940832,1.1492928392332373,0.0,0.04948177573400925,0.9605353602648903,0.058089369971263176
PC30,0.11378111027153937,1.1205068306030441,0.07057691660464002,-0.02454710441344199,0.2521093249565207,0.9757517256231784,1.28673670202962,0.0,1.6121575685846683,0.10692765601057425,3.2252930516600804
PC31,-0.023915794955866772,0.976367921400455,0.07996345131811994,-0.18064127961890375,0.13280968970717022,0.8347347413597824,1.1420326370829244,0.0,-0.29908407605772497,0.7648758959819058,0.38670241084152157
PC32,0.017649583363374317,1.0178062576478115,0.06991672056079698,-0.11938467085293887,0.1546838375796875,0.8874663526547628,1.167288849890667,0.0,0.25243723134907187,0.8007031252822532,0.320660657588027
PC33,0.055824264123368834,1.0574118422105268,0.08580679020114293,-0.11235395429985573,0.22400248254659338,0.8937278626891089,1.251074125274315,0.0,0.6505809620952966,0.515317023081945,0.9564678433429507
PC34,0.1420520876166994,1.152636685071257,0.0806964611314491,-0.016110069880777178,0.300214245114176,0.9840190032398158,1.3501480392124798,0.0,1.7603261112690696,0.07835252938724853,3.673876341043195
PC35,-0.08379544632470246,0.91961934837457,0.08289224330686845,-0.24626125780389596,0.07867036515449105,0.7817179683251531,1.081847648605031,0.0,-1.0108961102004481,0.31206615596331133,1.6800761915599365
PC36,0.03866120650787687,1.0394182758432207,0.04298844107078816,-0.045594589742390404,0.12291700275814414,0.9554292244933851,1.1307905645546574,0.0,0.8993395793118962,0.36847181154540865,1.4403738389297187
PC37,-0.04886554219747509,0.9523091664883896,0.07283772507462956,-0.19162486005957907,0.09389377566462888,0.8256165321411272,1.0984430583359384,0.0,-0.6708823229639234,0.5022954982877234,0.9933917496548051
PC38,-0.17448683593713835,0.839887910493688,0.08601672461930744,-0.3430765182590807,-0.005897153615195966,0.7095839133571114,0.994120200465201,0.0,-2.028522205529002,0.042506979333311365,4.556156449162507
PC39,-0.1553244835495878,0.8561373299278212,0.07911369828492233,-0.3103844828718038,-0.00026448422737179733,0.7331650126369577,0.9997355507454982,0.0,-1.9633070747141383,0.04961050389778202,4.333210578902947
PC40,0.05637791888124668,1.0579974454040413,0.07822994803801801,-0.09694996178570847,0.20970579954820184,0.907601419751388,1.2333151646987224,0.0,0.7206692615192364,0.4711130288495172,1.0858548639287169
PC41,0.12290070394308672,1.1307721341585746,0.08464795717966055,-0.04300624349393664,0.2888076513801101,0.9579054093717453,1.3348349501733725,0.0,1.4519039565507394,0.14652831227685398,2.7707486450178704
PC42,0.10031718294336966,1.1055215150391184,0.08821780274298473,-0.07258653322813918,0.2732208991148785,0.9299852685509038,1.3141905162850336,0.0,1.1371534976407822,0.2554741229605902,1.9687509272746957
PC43,0.0790319380836018,1.0822388861543797,0.09111503026052074,-0.09955023967729602,0.2576141158444996,0.9052444695360354,1.2938394501376718,0.0,0.8673864000004132,0.3857303309597043,1.3743355016697378
PC44,-0.14492363165179062,0.8650883559569535,0.08727938908675308,-0.31598809085448487,0.02614082755090366,0.7290681326944056,1.0264854957334872,0.0,-1.660456531240622,0.09682264568942843,3.368511673236886
